"";"Revenue";"Other Revenue, Total";"Total Revenue";"Cost of Revenue, Total";"Gross Profit";"Selling/General/Admin. Expenses, Total";"Research & Development";"Depreciation/Amortization";"Interest Expense(Income) - Net Operating";"Unusual Expense (Income)";"Other Operating Expenses, Total";"Total Operating Expense";"Operating Income";"Interest Income(Expense), Net Non-Operating";"Gain (Loss) on Sale of Assets";"Other, Net";"Income Before Tax";"Income After Tax";"Minority Interest";"Equity In Affiliates";"Net Income Before Extra. Items";"Accounting Change";"Discontinued Operations";"Extraordinary Item";"Net Income";"Preferred Dividends";"Income Available to Common Excl. Extra Items";"Income Available to Common Incl. Extra Items";"Basic Weighted Average Shares";"Basic EPS Excluding Extraordinary Items";"Basic EPS Including Extraordinary Items";"Dilution Adjustment";"Diluted Weighted Average Shares";"Diluted EPS Excluding Extraordinary Items";"Diluted EPS Including Extraordinary Items";"Dividends per Share - Common Stock Primary Issue";"Gross Dividends - Common Stock";"Net Income after Stock Based Comp. Expense";"Basic EPS after Stock Based Comp. Expense";"Diluted EPS after Stock Based Comp. Expense";"Depreciation, Supplemental";"Total Special Items";"Normalized Income Before Taxes";"Effect of Special Items on Income Taxes";"Income Taxes Ex. Impact of Special Items";"Normalized Income After Taxes";"Normalized Income Avail to Common";"Basic Normalized EPS";"Diluted Normalized EPS";"EndPeriod";"StartPeriod";"Company";"YearAvgPrice";"YearAvgPrice1QAfterStartPeriod";"YearAvgPrice2QAfterStartPeriod";"YearAvgPrice3QAfterStartPeriod";"YearAvgPrice4QAfterStartPeriod"
"2015-03-311";202,59;NA;202,59;93,62;108,97;58,34;16,33;NA;NA;0;NA;168,29;34,3;NA;NA;NA;33,04;20,8;NA;NA;20,8;NA;NA;NA;27,33;NA;20,8;27,33;NA;NA;NA;0;22,79;0,91;NA;0,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,91;2015-03-31;2014-04-01;"ABAX";2,93222222222222;2,72638888888889;2,61686507936508;2,61210317460317;2,53115079365079
"2014-03-311";162,03;NA;162,03;78,08;83,95;46,08;13,65;NA;NA;0;NA;137,8;24,23;NA;NA;NA;25,22;16,23;NA;NA;16,23;NA;NA;NA;14,19;NA;16,23;14,19;NA;NA;NA;NA;22,57;0,72;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,72;2014-03-31;2013-04-01;"ABAX";3,69071146245059;3,80511904761905;3,76801587301587;3,4275;2,93762845849802
"2013-03-311";180,88;NA;180,88;79,9;100,97;56,62;13,58;NA;NA;-17,25;NA;132,85;48,02;NA;NA;NA;48,28;31,13;NA;NA;31,13;NA;NA;NA;27,46;NA;31,13;27,46;NA;NA;NA;0,07;22,38;1,39;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,9;2013-03-31;NA;"ABAX";NA;NA;NA;NA;NA
"2015-12-3110";1,04;NA;1,04;NA;NA;14,32;4,71;0,55;NA;NA;NA;19,59;-18,55;NA;NA;NA;-14,53;-14,53;NA;NA;-14,53;NA;NA;NA;-14,53;NA;-14,53;-14,53;NA;NA;NA;NA;27,6;-0,53;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,53;2015-12-31;2015-01-01;"ABEO";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3110";0,93;NA;0,93;0;0,93;3,71;0,33;0,01;NA;NA;NA;4,06;-3,13;NA;NA;NA;-26,78;-26,78;NA;NA;-26,78;NA;NA;NA;-26,78;NA;-29,65;-29,65;NA;NA;NA;NA;1,94;-15,26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-15,26;2014-12-31;2014-01-01;"ABEO";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-319";2,04;NA;2,04;0,12;1,92;4,83;0,88;0;NA;NA;NA;5,85;-3,8;NA;NA;NA;4,45;4,45;NA;NA;4,45;NA;NA;NA;4,45;NA;1,55;1,55;NA;NA;NA;NA;0,51;3,04;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,04;2013-12-31;2013-01-01;"ABEO";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-319";4,4;NA;4,4;0,27;4,14;6,02;2,01;0,42;NA;NA;NA;8,72;-4,32;NA;NA;-2,32;-10,53;-10,53;NA;NA;-10,53;NA;NA;NA;-10,53;NA;-12,53;-12,53;NA;NA;NA;0;0,48;-25,91;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-25,91;2012-12-31;NA;"ABEO";NA;NA;NA;NA;NA
"2015-12-3111";52,15;NA;52,15;29,65;22,5;4,62;NA;NA;NA;NA;NA;34,28;17,88;NA;NA;NA;17,78;14,75;NA;NA;14,75;NA;NA;NA;14,75;NA;14,75;14,75;NA;NA;NA;NA;24,58;0,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,6;2015-12-31;2015-01-01;"ABIL";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3111";21,44;NA;21,44;13,97;7,48;3,53;NA;NA;NA;NA;NA;17,5;3,94;NA;NA;NA;4,21;3,12;NA;NA;3,12;NA;NA;NA;3,12;NA;3,12;3,12;NA;NA;NA;NA;24,58;0,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,13;2014-12-31;2014-01-01;"ABIL";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3110";5,9;NA;5,9;4,79;1,12;1,08;NA;NA;NA;NA;NA;5,87;0,03;NA;NA;NA;-0,34;-0,28;NA;NA;-0,28;NA;NA;NA;-0,28;NA;-0,28;-0,28;NA;NA;NA;NA;24,58;-0,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,01;2013-12-31;NA;"ABIL";NA;NA;NA;NA;NA
"2016-03-312";329,54;NA;329,54;50,42;279,12;164,26;49,76;NA;NA;NA;NA;264,44;65,1;NA;NA;0,34;65,84;38,15;NA;NA;38,15;NA;NA;NA;38,15;NA;38,15;38,15;NA;NA;NA;NA;44,9;0,85;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,85;2016-03-31;2015-04-01;"ABMD";2,52888888888889;2,45403162055336;2,41916230366492;2,37330708661417;2,49287878787879
"2015-03-312";230,31;NA;230,31;39,95;190,37;125,73;35,97;0;NA;NA;NA;201,65;28,67;NA;NA;-0,1;28,77;113,69;NA;NA;113,69;NA;NA;NA;113,69;NA;113,69;113,69;NA;NA;NA;NA;42,86;2,65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,65;2015-03-31;2014-04-01;"ABMD";2,93222222222222;2,72638888888889;2,61686507936508;2,61210317460317;2,53115079365079
"2014-03-312";183,64;NA;183,64;37,32;146,32;107,25;30,71;0;NA;NA;NA;175,28;8,36;NA;NA;0,05;8,53;7,35;NA;NA;7,35;NA;NA;NA;7,35;NA;7,35;7,35;NA;NA;NA;0;41,61;0,18;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,18;2014-03-31;2013-04-01;"ABMD";3,69071146245059;3,80511904761905;3,76801587301587;3,4275;2,93762845849802
"2013-03-312";158,12;NA;158,12;31,6;126,53;84,23;25,65;0,11;NA;NA;NA;141,58;16,54;NA;0;0,33;16,86;15,01;NA;NA;15,01;NA;NA;NA;15,01;NA;15,01;15,01;NA;NA;NA;NA;41,05;0,37;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,37;2013-03-31;NA;"ABMD";NA;NA;NA;NA;NA
"2015-12-3112";67,03;NA;67,03;29,75;37,28;11,79;NA;38,72;NA;128,57;NA;208,84;-141,81;NA;0;-0,32;-127,37;-127,09;NA;NA;-127,09;NA;NA;NA;-127,11;NA;-127,09;-127,11;NA;NA;NA;NA;104,61;-1,21;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,42;2015-12-31;2015-01-01;"AXAS";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3112";133,78;NA;133,78;37,34;96,44;13,38;NA;43,14;NA;NA;NA;93,85;39,92;NA;0;0,01;61,66;61,95;NA;NA;61,95;NA;NA;NA;63,27;NA;61,95;63,27;NA;NA;NA;NA;101,47;0,61;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,61;2014-12-31;2014-01-01;"AXAS";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3111";92,32;NA;92,32;31,64;60,68;12;NA;25,59;NA;NA;NA;69,23;23,1;NA;33,38;-0,54;47,54;46,84;NA;NA;46,84;NA;NA;NA;38,65;NA;46,84;38,65;NA;NA;NA;NA;93,54;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,15;2013-12-31;2013-01-01;"AXAS";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3110";65,66;NA;65,66;29,17;36,5;10,01;NA;20,95;NA;NA;NA;60,13;5,53;NA;0;-0,1;3,42;3,11;NA;NA;3,11;NA;NA;NA;-18,79;NA;3,11;-18,79;NA;NA;NA;NA;91,91;0,03;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,03;2012-12-31;NA;"AXAS";NA;NA;NA;NA;NA
"2015-12-3113";239,06;NA;239,06;145,35;93,71;13,12;38,65;NA;NA;0;NA;197,12;41,94;NA;NA;-2;39,8;40,52;NA;NA;40,52;NA;NA;NA;40,52;NA;7,6;7,6;NA;NA;NA;0;35,66;0,21;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,21;2015-12-31;2015-01-01;"ACIA";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3113";146,23;NA;146,23;93,56;52,68;6,62;28,47;NA;NA;0,11;NA;128,75;17,48;NA;NA;-0,64;16,45;13,52;NA;NA;13,52;NA;NA;NA;13,52;NA;1,73;1,73;NA;NA;NA;0;35,66;0,05;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,05;2014-12-31;2014-01-01;"ACIA";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3112";77,65;NA;77,65;47,98;29,67;5,1;24,25;NA;NA;0,74;NA;78,08;-0,42;NA;NA;-0,25;-1,19;-1,19;NA;NA;-1,19;NA;NA;NA;-1,19;NA;-4,97;-4,97;NA;NA;NA;0;35,66;-0,14;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,12;2013-12-31;NA;"ACIA";NA;NA;NA;NA;NA
"2015-12-3114";125,04;NA;125,04;34,63;90,41;38,18;3,39;53,07;NA;144,25;4,14;277,66;-152,62;NA;NA;-0,06;-152,68;-157,48;-2,56;NA;-160,04;NA;NA;NA;-160,04;NA;-160,73;-160,73;NA;NA;NA;NA;49,51;-3,25;NA;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,35;2015-12-31;2015-01-01;"ACTG";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3114";130,88;NA;130,88;44,23;86,64;48,55;3,84;57,24;NA;37,61;1,55;193,03;-62,16;NA;NA;0;-62,75;-66,66;0,63;NA;-66,03;NA;NA;NA;-66,03;NA;-66,75;-66,75;NA;NA;NA;0;48,66;-1,37;NA;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,87;2014-12-31;2014-01-01;"ACTG";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3113";130,56;NA;130,56;54,51;76,05;59,23;3,25;53,66;NA;39,34;3,51;213,49;-82,93;NA;NA;0;-80,8;-58,84;2,41;NA;-56,43;NA;NA;NA;-56,43;NA;-56,95;-56,95;NA;NA;NA;0;48,16;-1,18;NA;0,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,65;2013-12-31;2013-01-01;"ACTG";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3111";250,73;NA;250,73;50,68;200,05;54,08;4,94;39,02;NA;21,59;0;170,31;80,41;NA;NA;0,5;81,35;59,29;0,16;NA;59,45;NA;NA;NA;59,45;NA;57,56;57,56;NA;NA;NA;0,01;47,58;1,21;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,54;2012-12-31;NA;"ACTG";NA;NA;NA;NA;NA
"2015-12-3115";1794,49;NA;1794,49;NA;NA;1203,39;NA;63,55;NA;47,39;206,75;1521,07;273,42;NA;NA;NA;164,75;111,36;NA;NA;111,36;NA;NA;NA;112,55;NA;111,36;112,55;NA;NA;NA;NA;68,39;1,63;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,1;2015-12-31;2015-01-01;"ACHC";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3115";1004,6;NA;1004,6;NA;NA;688,52;NA;32,67;NA;13,65;110,65;845,49;159,11;NA;NA;NA;126,15;83,23;NA;NA;83,23;NA;NA;NA;83,04;NA;83,23;83,04;NA;NA;NA;NA;55,33;1,5;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,67;2014-12-31;2014-01-01;"ACHC";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3114";713,41;NA;713,41;NA;NA;492,75;NA;17,09;NA;16,5;80,57;606,91;106,5;NA;NA;NA;69,25;43,27;NA;NA;43,27;NA;NA;NA;42,58;NA;43,27;42,58;NA;NA;NA;0;50,26;0,86;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,07;2013-12-31;2013-01-01;"ACHC";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3112";407,46;NA;407,46;NA;NA;285,99;NA;7,98;NA;8,11;42,78;344,86;62,6;NA;NA;NA;32,83;20,5;NA;NA;20,5;NA;NA;NA;20,4;NA;20,5;20,4;NA;NA;NA;0;38,7;0,53;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,66;2012-12-31;NA;"ACHC";NA;NA;NA;NA;NA
"2015-12-3116";0,06;NA;0,06;NA;NA;88,3;73,87;NA;NA;NA;2,5;164,67;-164,61;NA;NA;NA;-164,11;-164,44;NA;NA;-164,44;NA;NA;NA;-164,44;NA;-164,44;-164,44;NA;NA;NA;NA;100,63;-1,63;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,63;2015-12-31;2015-01-01;"ACAD";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3116";0,12;NA;0,12;NA;NA;32,75;60,6;NA;NA;NA;NA;93,35;-93,23;NA;NA;NA;-92,47;-92,47;NA;NA;-92,47;NA;NA;NA;-92,47;NA;-92,47;-92,47;NA;NA;NA;0;97,25;-0,95;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,95;2014-12-31;2014-01-01;"ACAD";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3115";1,15;NA;1,15;NA;NA;12,72;26,72;NA;NA;NA;NA;39,44;-38,3;NA;NA;NA;-37,95;-37,95;NA;NA;-37,95;NA;NA;NA;-37,95;NA;-37,95;-37,95;NA;NA;NA;0;85,72;-0,44;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,44;2013-12-31;2013-01-01;"ACAD";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3113";4,91;NA;4,91;NA;NA;7;18,79;NA;NA;NA;NA;25,79;-20,89;NA;NA;NA;-20,85;-20,85;NA;NA;-20,85;NA;NA;NA;-20,85;NA;-20,85;-20,85;NA;NA;NA;0;55,12;-0,38;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,38;2012-12-31;NA;"ACAD";NA;NA;NA;NA;NA
"2015-12-3117";0,15;NA;0,15;NA;NA;17,88;26,02;1,79;NA;0;NA;45,7;-45,55;NA;NA;NA;-45,5;-45,5;NA;NA;-45,5;NA;NA;NA;-45,5;NA;-45,5;-45,5;NA;NA;NA;NA;45;-1,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,01;2015-12-31;2015-01-01;"AXDX";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3117";0,12;NA;0,12;NA;NA;10,7;19,53;0,89;NA;0;NA;31,11;-30,99;NA;NA;NA;-30,93;-30,93;NA;NA;-30,93;NA;NA;NA;-30,93;NA;-30,93;-30,93;NA;NA;NA;NA;43,63;-0,71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,71;2014-12-31;2014-01-01;"AXDX";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3116";0,05;NA;0,05;NA;NA;4,31;10,67;0,36;NA;0,01;NA;15,36;-15,31;NA;0;NA;-15,28;-15,28;NA;NA;-15,28;NA;NA;NA;-15,28;NA;-15,28;-15,28;NA;NA;NA;NA;37,5;-0,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,41;2013-12-31;2013-01-01;"AXDX";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3114";0,02;NA;0,02;NA;NA;1,27;1,78;0,04;NA;0,33;NA;3,42;-3,4;NA;0;NA;-3,4;-3,4;NA;NA;-3,4;NA;NA;NA;-3,4;NA;-3,4;-3,4;NA;NA;NA;0;25,29;-0,13;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,12;2012-12-31;NA;"AXDX";NA;NA;NA;NA;NA
"2015-12-3118";18,1;NA;18,1;NA;NA;20,57;21,9;NA;NA;0;36,5;78,98;-60,88;NA;NA;-3,53;-63,89;-63,89;NA;NA;-63,89;NA;NA;NA;-63,89;NA;-63,89;-63,89;NA;NA;NA;NA;33,3;-1,92;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,92;2015-12-31;2015-01-01;"XLRN";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3118";14,63;NA;14,63;NA;NA;14,2;20,59;NA;NA;5;30,31;70,1;-55,46;NA;NA;5,04;-51,26;-51,26;NA;NA;-51,26;NA;NA;NA;-51,26;NA;-51,26;-51,26;NA;NA;NA;NA;31,52;-1,63;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,47;2014-12-31;2014-01-01;"XLRN";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3117";57,23;NA;57,23;NA;NA;14,23;10,85;NA;NA;NA;25,2;50,28;6,95;NA;NA;-26,8;-21,9;-21,9;NA;NA;-21,9;NA;NA;NA;-21,9;NA;-39;-39;NA;NA;NA;0;9,41;-4,15;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4,15;2013-12-31;2013-01-01;"XLRN";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3115";15,25;NA;15,25;0;15,25;8,82;9,77;NA;NA;NA;25,55;44,14;-28,89;NA;NA;-2,25;-32,58;-32,58;NA;NA;-32,58;NA;NA;NA;-32,58;NA;-59,64;-59,64;NA;NA;NA;0;2,4;-24,84;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-24,84;2012-12-31;NA;"XLRN";NA;NA;NA;NA;NA
"2015-12-3119";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,6;15,42;NA;NA;15,42;NA;NA;NA;15,42;NA;15,42;15,42;NA;NA;NA;NA;10,58;1,46;NA;0,58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,46;2015-12-31;2015-01-01;"ANCX";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3119";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,51;13,93;NA;NA;13,93;NA;NA;NA;13,93;NA;13,93;13,93;NA;NA;NA;NA;10,47;1,33;NA;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,37;2014-12-31;2014-01-01;"ANCX";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3118";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,44;13,21;NA;NA;13,21;NA;NA;NA;13,21;NA;13,21;13,21;NA;NA;NA;NA;10,4;1,27;NA;0,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,27;2013-12-31;2013-01-01;"ANCX";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3116";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28,43;17,72;NA;NA;17,72;NA;NA;NA;17,72;NA;17,72;17,72;NA;NA;NA;0;10,36;1,71;NA;0,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,71;2012-12-31;NA;"ANCX";NA;NA;NA;NA;NA
"2015-06-30";379,8;NA;379,8;234,4;145,4;108,82;55,75;NA;NA;NA;NA;398,97;-19,17;NA;NA;NA;-37,79;-40,21;NA;NA;-40,21;NA;NA;NA;-40,21;NA;-40,21;-40,21;NA;NA;NA;NA;78,28;-0,51;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,51;2015-06-30;2014-07-01;"ARAY";2,72638888888889;2,61686507936508;2,6122619047619;2,52988047808765;2,45549407114625
"2014-06-30";369,42;NA;369,42;226,62;142,8;107,22;53,72;NA;NA;NA;NA;387,56;-18,14;NA;NA;NA;-32,36;-35,45;NA;NA;-35,45;NA;NA;NA;-35,45;NA;-35,45;-35,45;NA;NA;NA;NA;75,8;-0,47;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,47;2014-06-30;2013-07-01;"ARAY";3,80511904761905;3,76801587301587;3,43210317460317;2,93222222222222;2,72830039525692
"2013-06-301";315,97;NA;315,97;218,33;97,64;101,88;67,32;NA;NA;9,1;NA;396,63;-80,66;NA;NA;-0,25;-93,79;-97,36;NA;NA;-97,36;NA;NA;NA;-103,22;NA;-97,36;-103,22;NA;NA;NA;0;73,28;-1,33;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,25;2013-06-30;2012-07-01;"ARAY";3,04068273092369;2,94293172690763;3,31139442231076;3,69071146245059;3,80511904761905
"2012-06-30";409,22;NA;409,22;271,95;137,27;109,59;82,02;NA;NA;1,9;NA;465,46;-56,23;NA;NA;-0,74;-68,75;-71,35;NA;NA;-71,35;NA;NA;NA;-72,04;NA;-71,35;-72,04;NA;NA;NA;0;70,89;-1,01;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,99;2012-06-30;NA;"ARAY";NA;NA;NA;NA;NA
"2015-12-3120";19,26;NA;19,26;1,77;17,49;14,2;22,49;NA;NA;0,76;NA;39,22;-19,95;NA;NA;-2,43;-23,64;-24,4;NA;NA;-24,4;NA;NA;NA;-24,4;NA;-24,4;-24,4;NA;NA;NA;NA;44,3;-0,55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,54;2015-12-31;2015-01-01;"ACRX";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-3120";5,22;NA;5,22;NA;NA;18,35;24,52;NA;NA;NA;NA;42,87;-37,65;NA;NA;NA;-33,35;-33,35;NA;NA;-33,35;NA;NA;NA;-33,35;NA;-33,35;-33,35;NA;NA;NA;NA;43,43;-0,77;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,77;2014-12-31;2014-01-01;"ACRX";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-3119";29,5;NA;29,5;NA;NA;9,88;26,29;NA;NA;NA;NA;36,17;-6,67;NA;NA;NA;-23,43;-23,43;NA;NA;-23,43;NA;NA;NA;-23,43;NA;-23,43;-23,43;NA;NA;NA;0;39,75;-0,59;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,59;2013-12-31;2013-01-01;"ACRX";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-3117";2,39;NA;2,39;NA;NA;7,2;24,91;NA;NA;NA;NA;32,11;-29,71;NA;NA;NA;-33,36;-33,36;NA;NA;-33,36;NA;NA;NA;-33,36;NA;-33,36;-33,36;NA;NA;NA;0;22,12;-1,51;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,51;2012-12-31;NA;"ACRX";NA;NA;NA;NA;NA
"2015-06-301";546,95;NA;546,95;411,52;135,43;56,95;5,94;4,79;NA;9,8;1,62;490,62;56,33;NA;NA;0,28;53,87;33,48;NA;NA;33,48;NA;NA;NA;33,48;NA;33,48;33,48;NA;NA;NA;NA;29,25;1,14;NA;0,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,35;2015-06-30;2014-07-01;"ACET";2,72638888888889;2,61686507936508;2,6122619047619;2,52988047808765;2,45549407114625
"2014-06-301";510,18;NA;510,18;395,48;114,7;65,21;5,22;NA;NA;NA;NA;465,91;44,27;NA;NA;0,09;44,67;29;NA;NA;29;NA;NA;NA;29;NA;29;29;NA;NA;NA;NA;28,56;1,02;NA;0,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,02;2014-06-30;2013-07-01;"ACET";3,80511904761905;3,76801587301587;3,43210317460317;2,93222222222222;2,72830039525692
"2013-06-302";499,69;NA;499,69;401,42;98,27;61,02;2,83;NA;NA;NA;NA;465,27;34,42;NA;NA;0,16;34,55;22,33;NA;NA;22,33;NA;NA;NA;22,33;NA;22,33;22,33;NA;NA;NA;NA;27,45;0,81;NA;0,22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,81;2013-06-30;2012-07-01;"ACET";3,04068273092369;2,94293172690763;3,31139442231076;3,69071146245059;3,80511904761905
"2012-06-301";444,39;NA;444,39;362,36;82,03;55,09;1,57;NA;NA;NA;NA;419,02;25,37;NA;NA;0,15;24,74;16,98;NA;NA;16,98;NA;NA;NA;16,98;NA;16,98;16,98;NA;NA;NA;NA;26,81;0,63;NA;0,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,63;2012-06-30;NA;"ACET";NA;NA;NA;NA;NA
